id,filename,genus
8,401ddb5a-ba72-453e-af36-94f67c848408.jpg,Muscicapidae
1458,b434e45c-d3f1-42a9-907f-411375222f70.jpg,Anatidae
1411,feca4f5f-07c4-4b00-a3cc-748efaa97abf.jpg,Anatidae
723,91c2f551-5df8-4808-ba6f-e48714dc9e1d.jpg,Scolopacidae
4199,595d31ea-3c6c-4141-9d0a-1dbfbf0b600e.jpg,Strigidae
4153,8b3b3234-a315-456c-bd43-dbb4a67ef254.jpg,Rallidae
324,290958be-78da-48f9-8ffb-37ad60c96319.jpg,Paridae
2447,eb8198d5-92ec-4bc4-9f26-ae532cb4016a.jpg,Motacillidae
3711,497248a1-d187-4c22-beab-e3fed1291823.jpg,Accipitridae
3655,b9570279-33cd-4af3-8223-e5a26b086655.jpg,Accipitridae
3327,8ed8c74d-1381-4e4b-a176-4d2fd176b11c.jpg,Emberizidae
2142,c8faeb32-5d9b-4550-b9e1-9b7fe66d1d35.jpg,Fringillidae
1016,ede4dde1-3789-4258-b681-d2cd7b6e67b6.jpg,Picidae
3078,35e4d8d4-e5f4-4b71-8f28-6025e43ffb5a.jpg,Columbidae
4017,0e5004b4-b255-462c-a25f-2b3f10ca8b25.jpg,Falconidae
1761,dc01e03c-4c16-4d4f-bec3-4cfb3c6641be.jpg,Laridae
2812,e6de8103-f771-44d3-a9c0-9e66a2e9608a.jpg,Sylviidae
1628,1c108bae-7e5d-4172-adf0-0cc5a1112929.jpg,Laridae
3410,e2049850-b7ed-4b71-8328-3ecaff7920e5.jpg,Emberizidae
2958,ad2d91e2-4904-4d83-9225-e87fe2ad801f.jpg,Charadriidae
1532,e7c3cc77-6696-4df5-80ad-e8512b990af5.jpg,Passeridae
2457,c70072ec-4c0f-4301-8f4d-7e201d794560.jpg,Motacillidae
1968,044e37cd-154d-4610-9269-1e1978d6b259.jpg,Hirundinidae
736,754c4520-eac3-4848-ac23-7eb80106a072.jpg,Acrocephalidae
1921,34e985e4-f062-4f11-bd5f-1e9009dc596b.jpg,Hirundinidae
4187,c9797c1b-8110-4692-b741-334b991841b7.jpg,Rallidae
892,0a864b5c-cf53-419e-aec4-f40e334a883d.jpg,Picidae
352,47222f5e-2f83-4b4f-a3f3-5920e0e65445.jpg,Paridae
3544,3c440fea-e4d4-412c-9410-dad5bea31248.jpg,Accipitridae
403,b1acac9c-df19-4569-8c80-de96d1007124.jpg,Paridae
3395,0c7ca443-8bc1-44d1-ac24-8ce8e2a235df.jpg,Emberizidae
854,f85e66cd-a280-41d9-ba44-7ddc5051feed.jpg,Picidae
1779,3206c5d4-868a-487f-b87c-ca377d02723f.jpg,Laridae
3368,509f4f3f-d02d-49bc-a9c7-c0de94db5056.jpg,Emberizidae
1320,724eefcd-fb59-4075-a918-14e242590496.jpg,Anatidae
1542,06f47066-6587-48f0-8857-6df24cf002d6.jpg,Passeridae
4140,54448577-c38e-48b4-96e9-9083a9e5c1e0.jpg,Rallidae
3790,0e741765-0c1a-4952-9d56-86847a5a575a.jpg,Alaudidae
0,9b1e6823-103e-4079-a555-06c8ebb641ba.jpg,Muscicapidae
1375,711478a2-4a59-49d0-92db-3b228c834eb4.jpg,Anatidae
2374,8ce38947-7d62-404d-ae99-5471a4cf746b.jpg,Motacillidae
601,c881fdb1-09bf-41fa-bd4a-acfd0dcb8b75.jpg,Scolopacidae
72,202c5092-ac4a-449a-8310-cf1884a050d1.jpg,Muscicapidae
1927,ed3b8cb9-ad16-4f99-a1c4-bc4898a1cd01.jpg,Hirundinidae
3057,349f20b1-dba7-4b78-8b9f-cc66c19a5c33.jpg,Columbidae
4151,9a8e057a-a46e-40c9-8967-d5aca4b127bc.jpg,Rallidae
685,660716f3-f92d-4f1d-a348-56b551aa5d6f.jpg,Scolopacidae
1597,7a089c0e-343d-4530-afc5-273c519309d2.jpg,Laridae
3494,3c9714fa-91ee-4c56-a59b-d36ac00769b3.jpg,Accipitridae
478,32078562-4cc7-44b0-9ac0-5bf73189a998.jpg,Scolopacidae
519,a38456dc-aaad-4ed4-8b64-52f773cf9af0.jpg,Scolopacidae
2901,2b9c3eef-c506-4f5e-ac39-669c2bbc3135.jpg,Sylviidae
318,9f5f0de8-c493-4762-b312-013b3c742303.jpg,Paridae
3411,8e7b120b-8129-49c7-a9ab-34edb2b44faa.jpg,Emberizidae
2391,dc04c703-6daf-444a-88c6-0d121a65c444.jpg,Motacillidae
224,3f51df45-ffb4-44dd-9129-f4823a39ff36.jpg,Muscicapidae
4045,a73a3ff0-fa7b-4d9c-890b-38f0e635c37a.jpg,Phylloscopidae
3191,4e479e56-4fa0-4aba-8dc5-e1312371d19c.jpg,Turdidae
1601,29ac1958-e179-4901-b9bb-3613e857725e.jpg,Laridae
738,e24ae209-746b-4b40-88ea-e6690b71bbd7.jpg,Acrocephalidae
1448,41ae19cc-94a7-4055-97e1-9d96885755e5.jpg,Anatidae
718,f14ee696-4cfc-498b-bdc5-737bccf5e849.jpg,Scolopacidae
3223,55f7b7ef-7d4c-4c48-979c-1e668b38e173.jpg,Turdidae
2588,6d72cebc-b866-44ef-a30b-43009d72db11.jpg,Corvidae
3500,cad872cd-9340-4280-b689-be649f7c5129.jpg,Accipitridae
2759,512a1e68-ef4d-4a7d-8591-05719eae88e3.jpg,Corvidae
534,f79ce98e-eaf3-4aa5-8e4b-b091c3ec3e08.jpg,Scolopacidae
1115,e5f5913f-3026-4910-ad8f-f9c9ff2481cc.jpg,Anatidae
898,8edc6268-d77e-47ce-86b9-6f6e6925c525.jpg,Picidae
141,caee779c-5534-4122-82b6-04da8f7c34a6.jpg,Muscicapidae
3349,e9cfe55b-ea07-4e1d-a28b-e1c560a8ff63.jpg,Emberizidae
2835,2673af55-3b63-4105-9e9a-4c848c78d69b.jpg,Sylviidae
2565,f59ec44e-ddae-4ecb-b190-41ad5f453dce.jpg,Corvidae
2837,7b9e0d00-3b0c-4972-ace7-e1c205daf76c.jpg,Sylviidae
12,c397d21b-c0ac-4abf-bab2-a96d0f536c27.jpg,Muscicapidae
1843,1b179363-0cbd-4051-98f4-1da0930ed7b3.jpg,Laridae
4121,8143db62-240f-40ff-a668-21069ff56c96.jpg,Rallidae
1256,66a15e19-71c5-4e06-ba6a-4d65972b0f7d.jpg,Anatidae
1321,de9d1e0a-f678-4ef9-b499-d28050bfc62a.jpg,Anatidae
2963,e03669f8-2e5f-493c-8193-43393f637386.jpg,Charadriidae
322,4025a8bb-4f7e-4b12-bbc0-43f9a48a4501.jpg,Paridae
864,fa8a4503-9e8d-4f4f-a6af-86647774f23b.jpg,Picidae
4006,bdd87121-236d-4940-9461-7017ecd414db.jpg,Falconidae
2180,5759052f-7279-481d-83fb-428f00ab3866.jpg,Fringillidae
2157,285fb35d-459b-4a5d-9d43-dd2e1017fa07.jpg,Fringillidae
511,46c6dcd6-964d-40f8-9df0-bd23be4f039c.jpg,Scolopacidae
2334,2327022a-bdec-47af-90cd-9527c9bdc6cb.jpg,Phasianidae
2464,50e9b8af-8241-4b3b-b2e0-a8d163411dff.jpg,Motacillidae
